date/time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-31T20:13:49.460Z,36.857,140.835,89.6,5.1,mwc,188,109.9,,0.71,us,usp000dcam,2022-07-14T18:53:53.243Z,"10 km NE of Kitaibaraki, Japan",earthquake,,,,,reviewed,us,hrv
2004-12-31T08:30:25.160Z,39.964,142.163,67.3,4.3,mwr,33,173,,0.52,us,usp000dc9c,2014-11-07T01:24:27.814Z,"40 km NNE of Miyako, Japan",earthquake,,6.1,,,reviewed,us,nied
2004-12-30T13:29:45.170Z,38.921,141.493,70.8,5,mwc,125,113.1,,0.78,us,usp000dc78,2022-07-14T18:55:35.840Z,"25 km SW of ?funato, Japan",earthquake,,,,,reviewed,us,hrv
2004-12-30T09:40:58.920Z,38.389,135.46,359.3,4.6,mwr,115,76.7,,0.72,us,usp000dc6z,2014-11-07T01:24:27.429Z,"199 km NW of Nanao, Japan",earthquake,,3.9,,,reviewed,us,nied
2004-12-30T01:53:34.860Z,37.897,140.798,111.1,4.3,mb,32,179.9,,0.88,us,usp000dc62,2014-11-07T01:24:27.331Z,"eastern Honshu, Japan",earthquake,,8,,23,reviewed,us,us
2004-12-29T13:58:50.260Z,38.455,142.018,44.5,5.7,mwc,190,105,,0.93,us,usp000dc4e,2022-07-14T18:59:15.646Z,"62 km E of Ishinomaki, Japan",earthquake,,,,,reviewed,us,hrv
2004-12-28T09:30:40.220Z,37.239,138.787,35.8,4.8,mwc,137,113.6,,0.85,us,usp000dc1r,2016-11-10T00:56:36.797Z,"6 km S of Ojiya, Japan",earthquake,,6.1,,,reviewed,us,hrv
2004-12-27T18:40:02.250Z,38.381,139.799,138.9,4.1,mb,27,120.4,,0.85,us,usp000dbyp,2014-11-07T01:24:25.765Z,"32 km ENE of Murakami, Japan",earthquake,,7.3,,11,reviewed,us,us
2004-12-26T21:01:00.700Z,33.401,138.067,289,4.1,mb,16,126.2,,0.74,us,usp000dbpe,2014-11-07T01:24:23.711Z,"134 km S of ?yama, Japan",earthquake,,8.5,,4,reviewed,us,us
2004-12-25T01:23:34.110Z,37.297,138.869,34.8,4.3,mb,29,121.5,,0.64,us,usp000dbcy,2014-11-07T01:24:21.450Z,"6 km E of Ojiya, Japan",earthquake,,23,,6,reviewed,us,us
2004-12-23T12:03:43.620Z,37.392,138.848,16.3,4.2,mwr,55,121.6,,0.8,us,usp000db8x,2014-11-07T01:24:20.401Z,"6 km S of Nagaoka, Japan",earthquake,,8.2,,,reviewed,us,nied
2004-12-23T05:53:22.260Z,39.603,142.925,57.9,4.3,mb,20,143.8,,1.1,us,usp000db8b,2014-11-07T01:24:20.349Z,"84 km E of Miyako, Japan",earthquake,,17.3,,12,reviewed,us,us
2004-12-21T08:57:59.650Z,36.444,140.453,78.6,4.2,mb,10,154.8,,0.69,us,usp000db4y,2014-11-07T01:24:19.971Z,"9 km NW of Hitachi-Naka, Japan",earthquake,,17.1,,1,reviewed,us,us
2004-12-19T20:32:04.770Z,37.6,141.109,89.4,3.6,mb,10,139,,0.6,us,usp000db1m,2014-11-07T01:24:19.463Z,"16 km NE of Namie, Japan",earthquake,,14.6,,2,reviewed,us,us
2004-12-19T19:33:21.440Z,33.75,137.191,340.9,3.8,mb,16,133.4,,1.16,us,usp000db1g,2014-11-07T01:24:19.395Z,"87 km SSE of Toba, Japan",earthquake,,9.1,,4,reviewed,us,us
2004-12-19T10:16:39.800Z,38.077,142.609,37.8,4.6,mwr,69,129.4,,0.81,us,usp000db0n,2014-11-07T01:24:19.310Z,"120 km ESE of Ishinomaki, Japan",earthquake,,,,,reviewed,us,nied
2004-12-19T05:22:49.910Z,36.382,141.4,37,5.2,mwc,100,119.4,,0.98,us,usp000db06,2016-11-10T00:55:25.193Z,"71 km ESE of Hitachi, Japan",earthquake,,,,,reviewed,us,hrv
2004-12-18T18:14:26.160Z,40.201,141.377,111.9,4,mb,22,133.6,,0.82,us,usp000daz8,2014-11-07T01:24:19.089Z,"7 km ESE of Ichinohe, Japan",earthquake,,11.9,,10,reviewed,us,us
